Membership No  Date Joined  Active  
    42788      2019-2-16    no    
    32954      2016-3-20    no    
    10839      2020-10-1    yes   
    15412      2019-1-23    no    
    21768      2016-10-17   no    
    66868      2016-6-13    no    
    27946      2020-12-23   no    
    88995      2018-4-18    yes   
    73705      2016-5-7     yes   
    58672      2020-9-1     yes   
    67256      2017-5-23    no    
    86151      2017-11-14   no    
    93972      2015-8-24    no    
    36849      2017-5-3     no    
    98396      2019-2-4     no    
    78899      2020-8-24    yes   
    25256      2017-7-13    no    
    18078      2018-11-16   no    
    83661      2016-1-3     yes   
    76671      2019-1-8     yes   
